date,rain,maxtp,mintp,wdsp
01-jan-2024,12.4,10.1,0.8,7.1
02-jan-2024,7.9,9.4,5.1,6.1
03-jan-2024,0.5,8.5,4.2,5.0
04-jan-2024,1.2,7.6,2.0,5.0
05-jan-2024,0.3,7.5,1.9,5.3
06-jan-2024,0.2,6.6,-0.4,3.5
07-jan-2024,0.3,6.5,-3.5,1.5
08-jan-2024,0.3,4.5,-0.8,4.5
09-jan-2024,0.0,5.2,0.7,6.7
10-jan-2024,0.0,5.5,0.7,4.8
11-jan-2024,0.0,6.3,4.4,4.9
12-jan-2024,0.0,4.6,0.9,3.0
13-jan-2024,0.5,4.9,0.6,2.1
14-jan-2024,0.1,4.9,-0.4,3.6
15-jan-2024,0.1,3.2,-2.4,3.0
16-jan-2024,0.1,4.7,-1.9,6.4
17-jan-2024,0.2,2.3,-3.8,3.4
18-jan-2024,0.2,3.8,-4.2,3.4
19-jan-2024,0.2,5.1,-4.8,7.2
20-jan-2024,10.9,9.5,4.5,11.3
21-jan-2024,12.9,12.3,5.0,14.5
22-jan-2024,0.7,7.9,3.8,9.2
23-jan-2024,15.0,13.3,3.8,13.9
24-jan-2024,1.2,9.4,4.1,6.7
25-jan-2024,4.2,13.1,5.9,9.9
26-jan-2024,1.9,8.3,2.1,8.7
27-jan-2024,0.0,10.1,5.5,10.0
28-jan-2024,0.9,12.6,5.5,10.3
29-jan-2024,5.2,5.5,0.3,3.5
30-jan-2024,0.1,8.4,-1.2,4.8
31-jan-2024,5.6,10.8,0.8,9.3
01-feb-2024,0.1,10.0,0.8,5.8
02-feb-2024,1.4,12.0,9.6,9.4
03-feb-2024,0.6,11.1,7.3,5.8
04-feb-2024,0.4,12.4,7.6,10.2
05-feb-2024,1.0,11.1,8.3,11.4
06-feb-2024,8.3,10.9,1.7,5.8
07-feb-2024,0.1,5.6,-0.3,2.6
08-feb-2024,19.1,5.6,0.5,10.6
09-feb-2024,5.4,6.1,4.7,7.7
10-feb-2024,0.2,9.8,1.4,3.5
11-feb-2024,0.2,9.1,1.4,4.7
12-feb-2024,0.3,8.3,-0.3,7.6
13-feb-2024,6.7,8.0,1.8,3.8
14-feb-2024,6.9,13.0,7.9,6.5
15-feb-2024,6.1,12.8,5.7,4.5
16-feb-2024,2.6,11.9,7.9,5.2
17-feb-2024,5.1,12.8,8.8,6.0
18-feb-2024,0.2,13.0,8.1,5.2
19-feb-2024,0.5,11.9,7.1,6.1
20-feb-2024,2.4,13.0,4.8,7.2
21-feb-2024,6.9,12.4,5.6,9.4
22-feb-2024,3.9,8.1,2.0,7.0
23-feb-2024,1.1,8.1,1.0,6.0
24-feb-2024,0.5,8.8,0.8,2.7
25-feb-2024,0.0,8.0,1.8,7.0
26-feb-2024,0.0,9.3,0.2,5.5
27-feb-2024,1.1,10.3,1.6,7.1
28-feb-2024,8.4,11.7,3.4,8.5
29-feb-2024,2.4,7.4,1.2,7.4
01-mar-2024,21.0,4.6,0.1,7.5
02-mar-2024,0.3,7.1,1.1,7.1
03-mar-2024,2.1,9.6,-1.2,3.2
04-mar-2024,1.1,8.6,-0.6,10.3
05-mar-2024,4.9,12.2,4.0,9.0
06-mar-2024,0.0,9.7,3.4,9.1
07-mar-2024,0.0,10.3,5.5,9.4
08-mar-2024,0.3,7.1,3.8,10.0
09-mar-2024,0.8,6.8,4.6,9.4
10-mar-2024,1.2,7.6,5.4,6.3
11-mar-2024,8.2,8.8,6.0,4.3
12-mar-2024,3.3,12.6,6.3,7.9
13-mar-2024,8.2,12.3,6.4,6.5
14-mar-2024,22.3,13.8,6.3,7.9
15-mar-2024,0.2,12.2,1.2,6.3
16-mar-2024,2.8,12.3,-0.1,6.8
17-mar-2024,2.3,12.9,6.1,5.7
18-mar-2024,3.5,11.3,4.1,9.8
19-mar-2024,0.6,13.1,7.0,4.5
20-mar-2024,2.1,12.5,2.4,4.3
