date,rain,maxtp,mintp,wdsp
01-dec-2024,1.3,12.4,7.0,6.1
02-dec-2024,0.2,7.9,-2.9,4.8
03-dec-2024,1.0,7.2,-3.0,3.1
04-dec-2024,3.9,11.9,2.4,7.2
05-dec-2024,6.2,11.3,4.0,6.7
06-dec-2024,8.0,12.3,1.8,8.9
07-dec-2024,9.6,8.3,4.1,14.8
08-dec-2024,0.0,7.1,2.4,7.0
09-dec-2024,0.0,6.0,0.4,3.9
10-dec-2024,0.0,5.2,0.3,3.4
11-dec-2024,0.0,4.4,1.8,2.3
12-dec-2024,0.0,5.0,3.2,1.7
13-dec-2024,0.7,5.2,-0.9,2.3
14-dec-2024,0.2,10.6,1.8,5.5
15-dec-2024,2.1,11.3,8.8,8.0
16-dec-2024,0.3,10.2,6.0,7.1
17-dec-2024,1.4,14.0,5.7,11.4
18-dec-2024,2.8,13.7,2.7,7.0
19-dec-2024,0.6,7.0,1.3,5.7
20-dec-2024,1.7,9.5,1.7,7.4
21-dec-2024,2.7,11.5,2.7,11.0
22-dec-2024,3.5,6.9,1.5,9.3
23-dec-2024,1.8,11.7,2.6,5.6
24-dec-2024,0.4,11.4,10.4,7.7
25-dec-2024,0.0,11.7,7.9,6.8
26-dec-2024,0.1,9.3,7.6,4.2
27-dec-2024,0.0,9.8,6.0,3.9
28-dec-2024,0.7,9.2,3.2,3.8
29-dec-2024,0.4,9.9,5.0,7.9
30-dec-2024,0.2,10.5,8.3,10.4
31-dec-2024,15.0,10.8,6.1,12.3
